TIMESTAMP,CPU_USAGE_ACTUAL
2023.04.02-00:09:00:000,7.2
2023.04.02-00:10:00:000,7.04
2023.04.02-00:11:00:000,6.88
2023.04.02-00:12:00:000,6.72
2023.04.02-00:13:00:000,6.48
2023.04.02-00:14:00:000,6.501818181818182
2023.04.02-00:15:00:000,6.523636363636364
2023.04.02-00:16:00:000,6.545454545454546
2023.04.02-00:17:00:000,6.567272727272727
2023.04.02-00:18:00:000,6.589090909090909
2023.04.02-00:19:00:000,6.610909090909091
2023.04.02-00:20:00:000,6.632727272727273
2023.04.02-00:21:00:000,6.654545454545454
2023.04.02-00:22:00:000,6.676363636363636
2023.04.02-00:23:00:000,6.698181818181818
2023.04.02-00:24:00:000,6.72
2023.04.02-00:25:00:000,6.72
2023.04.02-00:26:00:000,6.72
2023.04.02-00:27:00:000,6.72
2023.04.02-00:28:00:000,6.72
2023.04.02-00:29:00:000,6.72
2023.04.02-00:30:00:000,6.72
2023.04.02-00:31:00:000,6.72
2023.04.02-00:32:00:000,6.66
2023.04.02-00:33:00:000,6.6
2023.04.02-00:34:00:000,6.54
2023.04.02-00:35:00:000,6.48
2023.04.02-00:36:00:000,6.48
2023.04.02-00:37:00:000,6.48
2023.04.02-00:38:00:000,6.48
2023.04.02-00:39:00:000,6.48
2023.04.02-00:40:00:000,6.54
2023.04.02-00:41:00:000,6.6
2023.04.02-00:42:00:000,6.66
2023.04.02-00:43:00:000,6.72
2023.04.02-00:44:00:000,6.72
2023.04.02-00:45:00:000,6.72
2023.04.02-00:46:00:000,6.72
2023.04.02-00:47:00:000,6.72
2023.04.02-00:48:00:000,6.72
2023.04.02-00:49:00:000,6.72
2023.04.02-00:50:00:000,6.72
2023.04.02-00:51:00:000,6.72
2023.04.02-00:52:00:000,6.72
2023.04.02-00:53:00:000,6.72
2023.04.02-00:54:00:000,6.72
2023.04.02-00:55:00:000,6.72
2023.04.02-00:56:00:000,6.72
2023.04.02-00:57:00:000,6.72
2023.04.02-00:58:00:000,6.72
2023.04.02-00:59:00:000,6.72
2023.04.02-01:00:00:000,6.72
2023.04.02-01:01:00:000,6.72
2023.04.02-01:02:00:000,6.72
2023.04.02-01:03:00:000,6.72
2023.04.02-01:04:00:000,6.72
2023.04.02-01:05:00:000,6.72
2023.04.02-01:06:00:000,6.72
2023.04.02-01:07:00:000,6.72
2023.04.02-01:08:00:000,6.72
2023.04.02-01:09:00:000,6.72
2023.04.02-01:10:00:000,6.72
2023.04.02-01:11:00:000,6.72
2023.04.02-01:12:00:000,6.72
2023.04.02-01:13:00:000,6.72
2023.04.02-01:14:00:000,6.72
2023.04.02-01:15:00:000,6.72
2023.04.02-01:16:00:000,6.72
2023.04.02-01:17:00:000,6.72
2023.04.02-01:18:00:000,6.72
2023.04.02-01:19:00:000,6.72
2023.04.02-01:20:00:000,6.72
2023.04.02-01:21:00:000,6.72
2023.04.02-01:22:00:000,6.72
2023.04.02-01:23:00:000,6.72
2023.04.02-01:24:00:000,6.72
2023.04.02-01:25:00:000,6.72
2023.04.02-01:26:00:000,6.72
2023.04.02-01:27:00:000,6.72
2023.04.02-01:28:00:000,6.72
2023.04.02-01:29:00:000,6.72
2023.04.02-01:30:00:000,6.72
2023.04.02-01:31:00:000,6.72
2023.04.02-01:32:00:000,6.72
2023.04.02-01:33:00:000,6.72
2023.04.02-01:34:00:000,6.72
2023.04.02-01:35:00:000,6.72
2023.04.02-01:36:00:000,6.72
2023.04.02-01:37:00:000,6.76
2023.04.02-01:38:00:000,6.8
2023.04.02-01:39:00:000,6.84
2023.04.02-01:40:00:000,6.88
2023.04.02-01:41:00:000,6.92
2023.04.02-01:42:00:000,6.96
2023.04.02-01:43:00:000,6.949565217391305
2023.04.02-01:44:00:000,6.939130434782609
2023.04.02-01:45:00:000,6.928695652173913
2023.04.02-01:46:00:000,6.918260869565217
2023.04.02-01:47:00:000,6.907826086956522
2023.04.02-01:48:00:000,6.897391304347826
2023.04.02-01:49:00:000,6.886956521739131
2023.04.02-01:50:00:000,6.876521739130435
2023.04.02-01:51:00:000,6.866086956521739
2023.04.02-01:52:00:000,6.855652173913044
2023.04.02-01:53:00:000,6.845217391304348
2023.04.02-01:54:00:000,6.834782608695653
2023.04.02-01:55:00:000,6.824347826086957
2023.04.02-01:56:00:000,6.813913043478261
2023.04.02-01:57:00:000,6.803478260869565
2023.04.02-01:58:00:000,6.79304347826087
2023.04.02-01:59:00:000,6.782608695652175
2023.04.02-02:00:00:000,6.772173913043479
2023.04.02-02:01:00:000,6.761739130434783
2023.04.02-02:02:00:000,6.751304347826087
2023.04.02-02:03:00:000,6.740869565217392
2023.04.02-02:04:00:000,6.730434782608696
2023.04.02-02:05:00:000,6.720000000000001
2023.04.02-02:06:00:000,6.720000000000001
2023.04.02-02:07:00:000,6.72
2023.04.02-02:08:00:000,6.724137931034482
2023.04.02-02:09:00:000,6.7282758620689656
2023.04.02-02:10:00:000,6.732413793103448
2023.04.02-02:11:00:000,6.7365517241379305
2023.04.02-02:12:00:000,6.740689655172414
2023.04.02-02:13:00:000,6.744827586206896
2023.04.02-02:14:00:000,6.748965517241379
2023.04.02-02:15:00:000,6.753103448275862
2023.04.02-02:16:00:000,6.7572413793103445
2023.04.02-02:17:00:000,6.761379310344827
2023.04.02-02:18:00:000,6.76551724137931
2023.04.02-02:19:00:000,6.769655172413793
2023.04.02-02:20:00:000,6.773793103448275
2023.04.02-02:21:00:000,6.777931034482759
2023.04.02-02:22:00:000,6.782068965517241
2023.04.02-02:23:00:000,6.786206896551724
2023.04.02-02:24:00:000,6.790344827586207
2023.04.02-02:25:00:000,6.794482758620689
2023.04.02-02:26:00:000,6.798620689655173
2023.04.02-02:27:00:000,6.802758620689655
2023.04.02-02:28:00:000,6.8068965517241375
2023.04.02-02:29:00:000,6.811034482758621
2023.04.02-02:30:00:000,6.815172413793103
2023.04.02-02:31:00:000,6.819310344827586
2023.04.02-02:32:00:000,6.823448275862069
2023.04.02-02:33:00:000,6.827586206896552
2023.04.02-02:34:00:000,6.831724137931034
2023.04.02-02:35:00:000,6.835862068965517
2023.04.02-02:36:00:000,6.84
2023.04.02-02:37:00:000,6.844137931034482
2023.04.02-02:38:00:000,6.848275862068966
2023.04.02-02:39:00:000,6.852413793103448
2023.04.02-02:40:00:000,6.856551724137931
2023.04.02-02:41:00:000,6.860689655172414
2023.04.02-02:42:00:000,6.864827586206896
2023.04.02-02:43:00:000,6.868965517241379
2023.04.02-02:44:00:000,6.873103448275862
2023.04.02-02:45:00:000,6.877241379310345
2023.04.02-02:46:00:000,6.881379310344827
2023.04.02-02:47:00:000,6.88551724137931
2023.04.02-02:48:00:000,6.889655172413793
2023.04.02-02:49:00:000,6.893793103448275
2023.04.02-02:50:00:000,6.897931034482759
2023.04.02-02:51:00:000,6.902068965517241
2023.04.02-02:52:00:000,6.9062068965517245
2023.04.02-02:53:00:000,6.910344827586207
2023.04.02-02:54:00:000,6.914482758620689
2023.04.02-02:55:00:000,6.918620689655173
2023.04.02-02:56:00:000,6.922758620689655
2023.04.02-02:57:00:000,6.926896551724138
2023.04.02-02:58:00:000,6.931034482758621
2023.04.02-02:59:00:000,6.9351724137931035
2023.04.02-03:00:00:000,6.939310344827586
2023.04.02-03:01:00:000,6.943448275862069
2023.04.02-03:02:00:000,6.947586206896552
2023.04.02-03:03:00:000,6.951724137931034
2023.04.02-03:04:00:000,6.9558620689655175
2023.04.02-03:05:00:000,6.96
2023.04.02-03:06:00:000,6.96
2023.04.02-03:07:00:000,6.96
2023.04.02-03:08:00:000,6.96
2023.04.02-03:09:00:000,6.96
2023.04.02-03:10:00:000,6.96
2023.04.02-03:11:00:000,6.96
2023.04.02-03:12:00:000,6.96
2023.04.02-03:13:00:000,6.96
2023.04.02-03:14:00:000,6.96
2023.04.02-03:15:00:000,6.96
2023.04.02-03:16:00:000,6.96
2023.04.02-03:17:00:000,6.96
2023.04.02-03:18:00:000,6.96
2023.04.02-03:19:00:000,6.96
2023.04.02-03:20:00:000,6.96
2023.04.02-03:21:00:000,6.96
2023.04.02-03:22:00:000,6.96
2023.04.02-03:23:00:000,6.96
2023.04.02-03:24:00:000,6.96
2023.04.02-03:25:00:000,6.96
2023.04.02-03:26:00:000,6.96
2023.04.02-03:27:00:000,6.96
2023.04.02-03:28:00:000,6.96
2023.04.02-03:29:00:000,6.92
2023.04.02-03:30:00:000,6.88
2023.04.02-03:31:00:000,6.84
2023.04.02-03:32:00:000,6.8
2023.04.02-03:33:00:000,6.76
2023.04.02-03:34:00:000,6.72
2023.04.02-03:35:00:000,6.72
2023.04.02-03:36:00:000,6.72
2023.04.02-03:37:00:000,6.72
2023.04.02-03:38:00:000,6.72
2023.04.02-03:39:00:000,6.744
2023.04.02-03:40:00:000,6.768
2023.04.02-03:41:00:000,6.792
2023.04.02-03:42:00:000,6.816
2023.04.02-03:43:00:000,6.84
2023.04.02-03:44:00:000,6.864
2023.04.02-03:45:00:000,6.888
2023.04.02-03:46:00:000,6.912
2023.04.02-03:47:00:000,6.936
