TIMESTAMP,CPU_USAGE_ACTUAL
2023.04.02-00:09:00:000,7.2
2023.04.02-00:10:00:000,7.04
2023.04.02-00:11:00:000,6.88
2023.04.02-00:12:00:000,6.72
2023.04.02-00:13:00:000,6.48
2023.04.02-00:14:00:000,6.501818181818182
2023.04.02-00:15:00:000,6.523636363636364
2023.04.02-00:16:00:000,6.545454545454546
2023.04.02-00:17:00:000,6.567272727272727
2023.04.02-00:18:00:000,6.589090909090909
2023.04.02-00:19:00:000,6.610909090909091
2023.04.02-00:20:00:000,6.632727272727273
2023.04.02-00:21:00:000,6.654545454545454
2023.04.02-00:22:00:000,6.676363636363636
2023.04.02-00:23:00:000,6.698181818181818
2023.04.02-00:24:00:000,6.72
2023.04.02-00:25:00:000,6.72
2023.04.02-00:26:00:000,6.72
2023.04.02-00:27:00:000,6.72
2023.04.02-00:28:00:000,6.72
2023.04.02-00:29:00:000,6.72
